(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00CAF7RMW,"P&J Trading Summer Set of 6 Fragrance Oils - Peach, Strawberry, Plumeria, Coconut, Ocean Breeze, Pina Colada Candle Scents, Soapmaking, Diffuser Oil",FR10SUS,7112,9627,0.9979,2,2,33.3,33.3,2,2
B00CAF7RMW,"P&J Trading Summer Set of 6 Fragrance Oils - Peach, Strawberry, Plumeria, Coconut, Ocean Breeze, Pina Colada Candle Scents, Soapmaking, Diffuser Oil",FR10SUSFBA,7112,9627,0.9979,631,35,10693.16,584.11,619,32
B00CAFC98E,"P&J Trading Fragrance Oil Winter Set | Cinnamon, Gingerbread, Sugar Cookies, Harvest Spice, Peppermint, and Christmas Wreath Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies",FR10WISFBA,830,990,0.9801,29,1,503.36,17.63,28,1
B00CAGCBAY,"P&J Trading Fragrance Oil Favorite Set | Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR10FASFBA,2352,3239,0.9967,108,8,3876.84,281.84,105,7
B00DFQDY18,"P&J Trading Fragrance | Eucalyptus Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30EUCFBA,140,168,0.9755,75,4,664.54,35.24,68,4
B00KGOKVBI,P&J Trading Fragrance Oil for Diffusers for Home - Apricot 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10APR,40,47,0.9783,9,2,44.71,9.78,9,2
B00KGOKXKW,P&J Trading Fragrance Oil for Diffusers for Home - Bay Rum 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BAR,26,32,1,11,0,54.89,0,6,0
B00KGOKYL0,P&J Trading Fragrance Oil for Diffusers for Home - Lemon 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LEM,24,25,1,5,0,24.95,0,5,0
B00KGOKYVA,P&J Trading Fragrance Oil for Diffusers for Home - Cucumber Melon 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CCM,43,53,0.9583,9,0,44.91,0,9,0
B00KGOKZK0,P&J Trading Fragrance Oil for Diffusers for Home - Lily 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LIY,25,31,1,4,0,19.96,0,4,0
B00KGOL068,P&J Trading Fragrance Oil for Diffusers for Home - Grapefruit 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10GRA,16,27,1,4,0,19.96,0,4,0
B00KGOL0XG,P&J Trading Fragrance Oil for Diffusers for Home - Ocean Breeze 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10OCB,78,94,0.989,20,2,99.6,9.78,18,2
B00KGOL30G,P&J Trading Fragrance Oil for Diffusers for Home - Passion Fruit 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PAF,20,30,1,3,0,14.97,0,3,0
B00KGOL4O6,"P&J Trading Fragrance | Ylang Ylang Oil 10ml - Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR10YLY,29,40,0.8333,2,0,9.98,0,2,0
B00KGOL5NG,"&J Fragrance Oil Tropical Set | Banana, Coconut, Awapuhi and Seaberry, Pineapple, Mango, Ocean Breeze Candle Scents for Making, Freshie Scent, Soap Making Supplies, Diffuser",FR10TRSFBA,1449,1813,0.9983,126,5,2101.13,81.04,123,5
B00LOX535E,"P&J Trading Fragrance Oil | Apricot Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APRSL,96,117,1,32,2,287.32,17.62,31,2
B00LOX54HG,"P&J Trading Fragrance Oil | Azalea Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30AZASL,23,50,0.3043,7,2,62.57,17.62,7,2
B00LOX55V6,"P&J Trading Fragrance Oil | Bay Rum Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30BARFBA,252,288,0.9964,68,3,610.78,26.43,68,3
